Number,Company,Ticker,Sector,Last Sale,Net Change,% Change,Market Cap,Volume,52 wk high,52 wk low,beta,P/E,Avg Volume,over/under
1024,NAM TAI PROPERTY INC. (XNYS:NTP),NTP,Finance,9.47,0.1,0.0107,547867910,136397,11.82,3.66,0.84,46.36,98081,0
1035,OCWEN FINANCIAL CORPORATION (XNYS:OCN),OCN,Finance,28.41,0.4096,0.0146,246815502,28424,32.51,4.22,1.89,0,77468,0
1044,OPPENHEIMER HOLDINGS INC. (XNYS:OPY),OPY,Finance,40.2,-0.03,-0.0008,501754009,99785,40.69,13.78,1.09,4.33,146325,1
1056,"PROSPERITY BANCSHARES, INC. (XNYS:PB)",PB,Finance,73.97,-1.36,-0.0181,6846556535,139724,77.17,42.02,1.33,13.25,448194,1
1064,"PRUDENTIAL FINANCIAL, INC. (XNYS:PFH)",PFH,Finance,25.24,0.2497,0.01,0,62369,26.49,24.51,1.68,0,91881,0
1065,"PROVIDENT FINANCIAL SERVICES, INC. (XNYS:PFS)",PFS,Finance,20.28,-0.3,-0.0146,1573953250,164007,21.11,9.05,1.03,15.19,375808,0
1066,"PENNYMAC FINANCIAL SERVICES, INC. (XNYS:PFSI)",PFSI,Finance,61.76,0.2626,0.0043,4311371151,392689,70,13.14,1.21,2.91,891309,1
1072,PIPER SANDLER COMPANIES (XNYS:PIPR),PIPR,Finance,109.13,-1.06,-0.0096,1949954702,48802,110.62,31.42,1.37,53.32,71436,0
1073,PJT PARTNERS INC. (XNYS:PJT),PJT,Finance,70.6,-1.59,-0.022,2709923108,70438,81.82,23.63,0.99,17.96,170485,1
1085,PROASSURANCE CORPORATION (XNYS:PRA),PRA,Finance,24.79,-0.13,-0.0052,1335927274,107021,28.7,12.67,0.33,0,280846,0
1087,"PRIMERICA, INC. (XNYS:PRI)",PRI,Finance,145.49,-1.175,-0.008,5718419152,67659,150.13,61.20,1.44,15.75,175316,1
1090,"PRUDENTIAL FINANCIAL, INC. (XNYS:PRS)",PRS,Finance,26.75,0.2149,0.0081,911313819,31613,28.6,19.05,1.68,0,38737,0
1095,PRUDENTIAL PUBLIC LIMITED COMPANY (XNYS:PUK),PUK,Finance,41.71,0.79,0.0193,54421494303,510431,41.8,15.68,1.7,40.85,537047,0
1096,"PZENA INVESTMENT MANAGEMENT, INC. (XNYS:PZN)",PZN,Finance,9.95,0.1,0.0102,708141172,28013,9.99,3.46,1.37,28.6,75962,1
1111,"EVEREST RE GROUP, LTD. (XNYS:RE)",RE,Finance,243.79,1.15,0.0047,9747699360,75593,269.59,157.32,0.62,20.1,268635,1
1119,"REINSURANCE GROUP OF AMERICA, INCORPORATED (XNYS:RGA)",RGA,Finance,125.74,-0.19,-0.0015,8544913180,124861,133.1,55.39,1.23,20.52,526076,0
1124,"RAYMOND JAMES FINANCIAL, INC. (XNYS:RJF)",RJF,Finance,119.21,-1.82,-0.015,16416546430,346369,124.02,54.21,1.25,19.63,846492,1
1126,RLI Corp. (XNYS:RLI),RLI,Finance,106.05,-0.065,-0.0006,4787862927,35998,110.59,65.37,0.36,30.78,121456,0
1127,REGIONAL MANAGEMENT CORP. (XNYS:RM),RM,Finance,34.53,0.98,0.0292,377477955,18995,34.52,10.33,1.48,14.05,38400,1
1128,"RE/MAX HOLDINGS, INC. (XNYS:RMAX)",RMAX,Finance,40.91,-2.31,-0.0535,1272988329,67898,43.85,14.40,1.58,61.74,99483,0
1132,RENAISSANCERE HOLDINGS LTD. (XNYS:RNR),RNR,Finance,162.35,-0.2564,-0.0016,8233684894,105281,201.29,113.27,0.48,10.49,478082,1
1144,"REINSURANCE GROUP OF AMERICA, INCORPORATED (XNYS:RZA)",RZA,Finance,26.3,0.12,0.0046,0,9940,28.16,15.39,1.23,0,22636,0
1145,"REINSURANCE GROUP OF AMERICA, INCORPORATED (XNYS:RZB)",RZB,Finance,28.09,0.18,0.0065,0,26818,29.16,11.92,1.23,0,20068,0
1159,"Sculptor Capital Management, Inc. (XNYS:SCU)",SCU,Finance,22.54,1.19,0.0557,1276655074,207639,26.37,8.86,1.5,0,261262,1
1163,STIFEL FINANCIAL CORP. (XNYS:SF),SF,Finance,62.72,-1.31,-0.0205,6583949021,155029,65.24,20.75,1.54,15.44,717891,1
1164,STIFEL FINANCIAL CORP. (XNYS:SFB),SFB,Finance,25.23,-0.08,-0.0032,0,2775,27.99,12.77,1.54,0,10252,0
1165,"SAFEGUARD SCIENTIFICS, INC. (XNYS:SFE)",SFE,Finance,7.72,-0.025,-0.0032,161189981,44015,9.09,4.43,1.22,0,113699,1
1168,"Shinhan Financial Group Co., Ltd. (XNYS:SHG)",SHG,Finance,29.76,0.14,0.0047,15373885889,44019,32.11,17.09,0.86,4.98,106230,0
1171,Sprott Inc. (XNYS:SII),SII,Finance,37.86,0.5101,0.0137,927563969,140957,43.63,13.30,1.23,44.18,145504,0
1178,Sun Life Financial Inc. (XNYS:SLF),SLF,Finance,50.23,1.51,0.031,29391069854,279673,51.22,24.37,1.01,15.14,658387,0
1179,"Sumitomo Mitsui Financial Group, Inc. (XNYS:SMFG)",SMFG,Finance,7.1,-0.01,-0.0014,48650303979,581251,7.26,4.49,1.08,9.55,1100113,0
1188,SYNOVUS FINANCIAL CORP. (XNYS:SNV),SNV,Finance,44.08,-0.18,-0.0041,6525580940,177576,45.39,10.91,1.67,19.42,943517,0
1211,STEWART INFORMATION SERVICES CORPORATION (XNYS:STC),STC,Finance,49.12,0.13,0.0027,1312879360,85723,55.93,20.26,1.03,8.05,195667,0
1241,"THE HANOVER INSURANCE GROUP, INC. (XNYS:THG)",THG,Finance,120.08,0.41,0.0034,4369397671,115993,125.81,75.11,0.95,12.46,231364,0
1259,TEJON RANCH CO. (XNYS:TRC),TRC,Finance,16.75,-0.11,-0.0065,439467271,24474,17.9,12.12,0.58,48.33,73661,0
1264,TERRENO REALTY CORPORATION (XNYS:TRNO),TRNO,Finance,55.53,-0.87,-0.0154,3811962912,138656,64.24,42.12,0.56,48.46,293235,0
1276,URBAN EDGE PROPERTIES (XNYS:UE),UE,Finance,16.24,-0.46,-0.0275,1900388771,454869,17.73,6.74,1.78,21.25,780499,0
1285,UNUM GROUP (XNYS:UNMA),UNMA,Finance,26.42,0.07,0.0027,0,5102,28.05,15.00,1.75,0,17390,1
1292,"UNIVERSAL INSURANCE HOLDINGS, INC. (XNYS:UVE)",UVE,Finance,14.99,0.24,0.0163,469697859,57295,23.24,10.74,1.12,0,243952,0
1318,WESTERN ALLIANCE BANCORPORATION (XNYS:WAL),WAL,Finance,92.67,-2.995,-0.0313,9343334482,596257,99.39,20.90,1.69,18.96,833893,1
1319,WESTERN ALLIANCE BANCORPORATION (XNYS:WALA),WALA,Finance,25.8,0.29,0.0114,0,12528,26.26,12.88,1.69,0,9615,0
1321,WESTPAC BANKING CORPORATION (XNYS:WBK),WBK,Finance,18.84,0.04,0.0021,68019321816,56487,19.33,7.98,0.98,41.2,123889,0
1322,WEBSTER FINANCIAL CORPORATION (XNYS:WBS),WBS,Finance,57.41,-0.02,-0.0004,5178324590,230041,58.38,18.16,1.63,24.5,530487,1
1324,"WALKER & DUNLOP, INC. (XNYS:WD)",WD,Finance,102.65,0.46,0.0045,3205498769,52752,106.45,24.55,1.32,13.29,208493,0
1325,"WADDELL & REED FINANCIAL, INC. (XNYS:WDR)",WDR,Finance,25.1,-0.005,-0.0002,1565877810,188198,25.9,9.87,1.45,0,712815,0
1327,Woori Financial Group Inc. (XNYS:WF),WF,Finance,26.09,0.4,0.0156,6281321248,6318,28.5,15.54,0.61,5.48,21994,0
1329,"WESTWOOD HOLDINGS GROUP, INC. (XNYS:WHG)",WHG,Finance,17.56,0.01,0.0006,146221207,12569,26.9,9.42,1.55,0,42795,1
1342,W. R. BERKLEY CORPORATION (XNYS:WRB),WRB,Finance,70.97,0.835,0.0119,12586484963,293918,72.25,43.05,0.82,24.71,818005,1
1353,ALLEGHANY CORPORATION (XNYS:Y),Y,Finance,644,-8.51,-0.013,9011271752,23083,727.72,426.87,0.66,96.18,64471,0
1354,Yiren Digital Ltd. (XNYS:YRD),YRD,Finance,5.04,-0.18,-0.0345,467744770,72113,6.8,2.70,0.76,12.3,490685,0
