Company,Ticker,Sector,Last Sale,Net Change,% Change,Market Cap,Volume,52 wk high,52 wk low,beta,P/E,Avg Volume
"CARTER'S, INC. (XNYS:CRI)",CRI,Consumer Non-Durables,$84.42,0.05,0.06%,3684728366,617162,$105.41,$60.17,1.34,33.72,"681,106"
"COMSTOCK RESOURCES, INC. (XNYS:CRK)",CRK,Energy,$6.00,0.04,0.67%,1394467308,1347502,$8.48,$4.05,1.66,0,"3,731,773"
"CHARLES RIVER LABORATORIES INTERNATIONAL, INC. (XNYS:CRL)",CRL,Health Care,$289.92,0.305,0.11%,14430874851,117912,$303.79,$95.58,1.12,40.35,"347,015"
"SALESFORCE.COM, INC. (XNYS:CRM)",CRM,Technology,$216.10,-1.44,-0.66%,1.98E+11,6152874,$284.50,$115.29,1.1,49.54,"7,064,651"
CARPENTER TECHNOLOGY CORPORATION (XNYS:CRS),CRS,Basic Industries,$42.58,-1.6,-3.62%,2044945803,189276,$45.63,$13.60,2.33,0,"414,853"
CROSS TIMBERS ROYALTY UNT (XNYS:CRT),CRT,Energy,$9.09,0.31,3.53%,54540000,19501,$9.43,$4.01,#FIELD!,#FIELD!,"35,209"
CORAL PRODUCTS PLC (XLON:CRU),CRU,Finance,$10.08,-0.15,-1.47%,326025000,56482,11.4,3.8,0.69,0,#FIELD!
"CRYOLIFE, INC. (XNYS:CRY)",CRY,Health Care,$25.76,-0.155,-0.60%,1003325945,50167,$26.60,$12.63,1.51,0,"201,573"
CARLISLE COMPANIES INCORPORATED (XNYS:CSL),CSL,Basic Industries,$150.19,2.235,1.51%,8003553290,217020,$159.46,$97.55,0.95,25.11,"324,636"
"CASTLIGHT HEALTH, INC. (XNYS:CSLT)",CSLT,Technology,$2.01,0.15,8.07%,316820234,1609523,$2.15,$0.60,1.78,0,"1,625,426"
CASPER SLEEP INC. (XNYS:CSPR),CSPR,Consumer Durables,$9.50,0.39,4.28%,385049697,497233,$10.97,$3.15,#FIELD!,0,"982,862"
INVESTORS REAL ESTATE TRUST (XNYS:CSR),CSR,,$70.38,0.47,0.67%,918674715,8357,$77.36,$43.58,0.93,0,"45,755"
CONSTELLIUM SE (XNYS:CSTM),CSTM,Basic Industries,$14.64,0.6,4.27%,2049053518,342157,$15.30,$3.90,2.7,0,"828,687"
CAPITAL SENIOR LIVING CORPORATION (XNYS:CSU),CSU,Health Care,$31.01,1.83,6.27%,64643322,37661,$41.36,$6.75,2.33,0,"66,885"
"CARRIAGE SERVICES, INC. (XNYS:CSV)",CSV,Consumer Services,$33.82,-0.35,-1.02%,607739583,37781,$36.85,$13.54,0.8,59.97,"108,403"
CERBERUS TELECOM ACQUISITION CORP. (XNYS:CTAC),CTAC,Finance,$10.22,-0.235,-2.25%,346520769,464286,$11.24,$9.73,#FIELD!,0,"151,104"
COOPER TIRE & RUBBER COMPANY (XNYS:CTB),CTB,Consumer Durables,$57.93,0.68,1.19%,2921842637,601903,$58.23,$13.82,1.73,20.33,"1,096,965"
Qwest Corp (XNYS:CTBB),CTBB,Public Utilities,$25.40,0.13,0.51%,0,140640,$26.00,$11.25,0.47,0,"76,605"
Qwest Corp (XNYS:CTDD),CTDD,Public Utilities,$26.17,0.07,0.27%,0,13374,$26.95,$12.73,0.47,0,"46,675"
COOTEK (CAYMAN) INC. (XNYS:CTK),CTK,Technology,$3.86,-0.3199,-7.65%,234326811,271142,$7.45,$2.46,#FIELD!,0,"596,992"
"Catalent, Inc. (XNYS:CTLT)",CTLT,Health Care,$113.41,-2.99,-2.57%,19305388953,500278,$127.68,$31.04,1.48,65.59,"996,142"
"CTO REALTY GROWTH, INC. (XNYS:CTO)",CTO,Finance,$51.86,-0.78,-1.48%,305070754,18004,$53.89,$27.21,0.77,3.95,"49,843"
ClearBridge MLP&Mdstm TR (XNYS:CTR),CTR,,$19.42,0.08,0.41%,143131906,14548,$34.90,$3.50,#FIELD!,#FIELD!,"39,649"
CTS CORPORATION (XNYS:CTS),CTS,Technology,$32.48,-0.56,-1.70%,1048063048,45257,$37.26,$17.92,0.75,31.01,"152,644"
"CATCHMARK TIMBER TRUST, INC. (XNYS:CTT)",CTT,Consumer Services,$10.56,-0.03,-0.28%,514963648,84616,$11.43,$5.13,1.38,0,"288,754"
"CORTEVA, INC. (XNYS:CTVA)",CTVA,Consumer Non-Durables,$46.22,-0.055,-0.12%,34386825330,1108230,$47.15,$20.38,#FIELD!,47.32,"3,466,530"
CUBIC CORPORATION (XNYS:CUB),CUB,Capital Goods,$69.95,0.31,0.45%,2220799881,156575,$70.22,$30.86,0.79,546.41,"690,318"
"Customers Bancorp, Inc. (XNYS:CUBB)",CUBB,Finance,$25.88,-0.15,-0.58%,0,150,$26.22,$12.60,1.55,0,"8,056"
CUBESMART (XNYS:CUBE),CUBE,Consumer Services,$36.26,-0.21,-0.58%,7080361223,1062034,$39.24,$19.61,0.25,42.92,"1,219,447"
"Customers Bancorp, Inc. (XNYS:CUBI)",CUBI,Finance,$27.68,-0.025,-0.09%,877438310,84567,$28.89,$8.36,1.55,7.44,"202,690"
CARNIVAL PLC (XNYS:CUK),CUK,Consumer Services,$23.47,0.8001,3.53%,26144853071,1591139,$31.32,$7.08,2.42,0,"2,131,847"
"CULP, INC. (XNYS:CULP)",CULP,Basic Industries,$16.88,-0.36,-2.09%,207688060,20474,$17.88,$5.28,1.28,0,"51,871"
CURO GROUP HOLDINGS CORP. (XNYS:CURO),CURO,Finance,$14.88,-0.28,-1.85%,608370481,84419,$20.81,$3.43,#FIELD!,9.7,"522,349"
COUSINS PROPERTIES INCORPORATED (XNYS:CUZ),CUZ,Consumer Services,$34.45,0.005,0.02%,5117372059,302614,$39.16,$21.15,1,21.54,"961,547"
COVANTA HOLDING CORPORATION (XNYS:CVA),CVA,Basic Industries,$14.03,-0.24,-1.68%,1851704303,427868,$15.56,$6.57,1.43,0,"1,016,846"
Cenovus Energy Inc. (XNYS:CVE),CVE,Energy,$7.45,0.02,0.27%,15029539900,3631789,$7.72,$1.41,3.87,0,"10,917,273"
CIVEO CORPORATION (XNYS:CVEO),CVEO,Consumer Services,$17.51,-0.39,-2.18%,248907609,35853,$20.67,$4.08,3.94,0,"45,686"
"CVR ENERGY, INC. (XNYS:CVI)",CVI,Energy,$22.08,0.05,0.23%,2219715626,175474,$28.81,$9.81,2.04,0,"612,547"
CARVANA CO. (XNYS:CVNA),CVNA,Consumer Durables,$321.83,9.909,3.18%,55283468297,1073771,$323.39,$22.16,2.49,0,"1,485,904"
CVS HEALTH CORPORATION (XNYS:CVS),CVS,Health Care,$69.21,-0.07,-0.10%,90758874428,2225918,$77.23,$52.04,0.8,12.66,"7,115,415"
CHEVRON CORPORATION (XNYS:CVX),CVX,Energy,$102.82,0.77,0.76%,1.98E+11,5572096,$104.96,$51.60,1.32,0,"10,494,048"
CURTISS-WRIGHT CORPORATION (XNYS:CW),CW,Technology,$113.73,-1.08,-0.94%,4720025417,72170,$129.64,$70.56,1.61,23.92,"209,023"
"CLEARWAY ENERGY, INC. (XNYS:CWEN)",CWEN,Public Utilities,$28.83,0.0201,0.07%,5813185755,486054,$37.23,$16.12,0.68,78.62,"776,117"
"CAMPING WORLD HOLDINGS, INC. (XNYS:CWH)",CWH,Consumer Durables,$32.64,-1.025,-3.05%,2896566876,795213,$41.85,$3.27,3.36,10.88,"1,547,964"
CUSHMAN & WAKEFIELD PLC (XNYS:CWK),CWK,Finance,$15.15,-0.535,-3.41%,3356579641,612093,$19.45,$6.84,#FIELD!,0,"634,434"
CALIFORNIA WATER SERVICE GROUP (XNYS:CWT),CWT,Public Utilities,$54.43,-0.73,-1.32%,2712791200,80793,$60.50,$39.74,0.08,0,"183,019"
CEMEX PUBLICLY TRADED STOCK CORPORATION WITH VARIABLE CAPITAL (XNYS:CX),CX,Capital Goods,$6.97,0.13,1.90%,10529670544,4565516,$7.09,$1.55,1.23,0,"10,777,764"
MFS High Inc Muni (XNYS:CXE),CXE,,$5.08,-0.01,-0.20%,160129469,15599,$5.54,$3.30,2.08,#FIELD!,"93,965"
MFS Inv Gr Muni Tr (XNYS:CXH),CXH,,$9.76,-0.05,-0.51%,88915991,256459,$10.55,$7.00,#FIELD!,#FIELD!,"13,026"
"COLUMBIA PROPERTY TRUST, INC. (XNYS:CXP)",CXP,Consumer Services,$14.63,-0.14,-0.95%,1680574800,404435,$20.15,$7.63,1.3,15.93,"896,949"
"CORECIVIC, INC. (XNYS:CXW)",CXW,Consumer Services,$7.53,-0.06,-0.79%,900872137,833395,$16.57,$5.76,1.34,16.74,"3,278,959"
CHINA YUCHAI INTERNATIONAL LIMITED (XNYS:CYD),CYD,Energy,$16.40,-0.035,-0.21%,669871665,19522,$20.49,$7.77,1.31,8.38,"34,762"
"COMMUNITY HEALTH SYSTEMS, INC. (XNYS:CYH)",CYH,Health Care,$8.47,-0.34,-3.86%,1097839075,746698,$11.45,$2.25,1.91,2.05,"1,845,947"
COSAN LIMITED (XNYS:CZZ),CZZ,Consumer Non-Durables,$17.85,-0.88,-4.70%,3987972637,388515,$21.25,$8.56,1.15,14.35,"780,006"
"Dominion Energy, Inc. (XNYS:D)",D,Public Utilities,$69.85,-0.08,-0.11%,56984963786,1801316,$89.06,$57.79,0.32,0,"3,827,569"
DANAOS CORPORATION (XNYS:DAC),DAC,Transportation,$40.35,-0.09,-0.22%,825159154,213208,$44.46,$2.50,1.83,6.2,"641,800"
"DELTA AIR LINES, INC. (XNYS:DAL)",DAL,Transportation,$48.47,0.41,0.85%,30930968853,7361148,$50.20,$17.51,1.52,0,"14,012,442"
DANA INCORPORATED (XNYS:DAN),DAN,Capital Goods,$24.76,0.35,1.43%,3582043734,415312,$25.25,$4.22,2.65,0,"1,461,259"
Youdao Inc (XNYS:DAO),DAO,Consumer Services,$34.22,-1.38,-3.88%,4003088314,260968,$47.70,$14.84,#FIELD!,0,"956,915"
DARLING INGREDIENTS INC. (XNYS:DAR),DAR,Consumer Non-Durables,$67.55,3.49,5.45%,10947726094,1004814,$72.85,$10.25,1.07,21.7,"1,377,096"
"DOORDASH, INC. (XNYS:DASH)",DASH,Miscellaneous,$158.99,-9.905,-5.87%,50502621991,2709283,$256.09,$135.38,#FIELD!,0,"2,614,801"
ENDAVA PLC (XNYS:DAVA),DAVA,Technology,$89.82,-0.13,-0.15%,4950639928,70122,$91.00,$27.21,#FIELD!,105.53,"182,513"
Deutsche Bank AG (XNYS:DB),DB,Finance,$12.63,-0.002,-0.02%,26070166698,1886634,$13.19,$4.99,1.3,0,"3,431,330"
"DIEBOLD NIXDORF, INCORPORATED (XNYS:DBD)",DBD,Miscellaneous,$15.34,0.08,0.52%,1191587009,219979,$16.51,$2.80,3.45,0,"988,648"
Designer Brands Inc. (XNYS:DBI),DBI,Consumer Services,$13.59,0.2275,1.70%,983638216,710992,$14.55,$2.60,2.58,0,"2,423,493"
DoubleLine:Oppor Crdt Fd (XNYS:DBL),DBL,,$19.80,-0.0996,-0.50%,296152524,20659,$20.69,$14.51,1.5,#FIELD!,"41,043"
BNY Mellon Alct GCI 2024 (XNYS:DCF),DCF,,$9.05,0.02,0.22%,135416345,13975,$9.48,$4.60,2.03,#FIELD!,"34,182"
"DONALDSON COMPANY, INC. (XNYS:DCI)",DCI,Capital Goods,$59.24,-0.86,-1.43%,7478452802,159210,$62.70,$31.08,1.33,30.33,"494,448"
DUCOMMUN INCORPORATED (XNYS:DCO),DCO,Capital Goods,$57.18,-0.83,-1.43%,672635100,9694,$59.00,$16.27,1.61,23.75,"45,540"
DCP MIDSTREAM UNT (XNYS:DCP),DCP,Public Utilities,$24.15,0.23,0.96%,5031901511,993453,$24.52,$2.20,#FIELD!,#FIELD!,"1,321,024"
DOMINION ENERGY SRS A UNT (XNYS:DCUE),DCUE,Public Utilities,$94.28,-0.29,-0.31%,0,5096,$111.27,$75.93,#FIELD!,#FIELD!,"111,635"
"DuPont de Nemours, Inc. (XNYS:DD)",DD,Basic Industries,$73.63,0.1,0.14%,39619494101,2549388,$87.27,$28.33,1.6,0,"18,598,308"
3D SYSTEMS CORPORATION (XNYS:DDD),DDD,Technology,$32.53,-6.2646,-16.15%,4037766093,5573710,$56.50,$4.60,1.36,0,"6,691,833"
Delaware Inv Div & Inc (XNYS:DDF),DDF,,$9.75,0,0.00%,74208800,7930,$13.60,$5.00,#FIELD!,#FIELD!,"25,279"
"DILLARD'S, INC. (XNYS:DDS)",DDS,Consumer Services,$88.69,-0.49,-0.55%,2146298000,108118,$128.00,$21.50,0.83,0,"754,448"
Dillard's Capital Trust I (XNYS:DDT),DDT,Consumer Services,$25.66,0.0416,0.16%,0,4211,$25.83,$12.77,#FIELD!,0,"10,985"
DEERE & COMPANY (XNYS:DE),DE,Capital Goods,$352.54,-6.97,-1.94%,1.11E+11,1119085,$363.31,$106.14,1.06,32.89,"1,899,757"
"EASTERLY GOVERNMENT PROPERTIES, INC. (XNYS:DEA)",DEA,Consumer Services,$21.55,-0.14,-0.65%,1769874692,268460,$29.70,$19.00,0.45,147.17,"599,487"
DECKERS OUTDOOR CORPORATION (XNYS:DECK),DECK,Consumer Non-Durables,$328.71,-2.82,-0.85%,9259734403,136007,$340.58,$78.70,0.81,25.61,"364,045"
D8 Holdings Corp. (XNYS:DEH),DEH,Finance,$10.15,-0.02,-0.20%,437718750,101496,$10.59,$9.60,#FIELD!,0,"200,921"
"DOUGLAS EMMETT, INC. (XNYS:DEI)",DEI,Consumer Services,$32.96,-0.37,-1.11%,5783298318,712124,$41.43,$22.88,0.87,117.87,"1,644,338"
DELL TECHNOLOGIES INC. (XNYS:DELL),DELL,Technology,$83.37,0.28,0.34%,62511190994,651599,$83.55,$25.51,0.91,19.66,"2,489,104"
DENBURY INC. (XNYS:DEN),DEN,Energy,$42.75,0.605,1.44%,2137249957,388147,$45.10,$15.43,#FIELD!,0,"636,894"
DIAGEO PLC (XNYS:DEO),DEO,Consumer Non-Durables,$160.95,1.59,1.00%,94144088207,267690,$170.37,$100.52,0.66,60.81,"543,190"
"Despegar.com, Corp. (XNYS:DESP)",DESP,Consumer Services,$13.15,0.12,0.92%,919789900,140651,$14.19,$4.44,2.6,0,"389,118"
Delaware Enh Gl Div & In (XNYS:DEX),DEX,,$9.67,-0.01,-0.10%,115058485,12207,$9.95,$5.43,#FIELD!,#FIELD!,"36,793"
"DONNELLEY FINANCIAL SOLUTIONS, INC. (XNYS:DFIN)",DFIN,Consumer Services,$28.04,0.0904,0.32%,935858725,249625,$28.48,$4.04,2.16,0,"253,120"
LGL SYSTEMS ACQUISITION CORP. (XNYS:DFNS),DFNS,Finance,$10.17,-0.3,-2.87%,219290625,55784,$11.40,$8.55,#FIELD!,946.65,"156,656"
Flrty&Crumrine Dyn P&I (XNYS:DFP),DFP,,$29.56,0.25,0.85%,566717196,34961,$30.18,$11.00,#FIELD!,#FIELD!,"50,370"
DISCOVER FINANCIAL SERVICES (XNYS:DFS),DFS,Finance,$97.42,-0.45,-0.46%,29877907557,620807,$100.96,$23.25,1.8,27.28,"2,725,526"
DOLLAR GENERAL CORPORATION (XNYS:DG),DG,Consumer Services,$189.25,-3.655,-1.90%,46365195888,2621465,$225.25,$125.00,0.5,19.11,"2,718,916"
Dragoneer Growth Opportunities Corp (XNYS:DGNR),DGNR,Finance,$10.71,-0.245,-2.24%,923306250,170780,$16.11,$10.35,#FIELD!,0,"1,301,264"
QUEST DIAGNOSTICS INCORPORATED (XNYS:DGX),DGX,Health Care,$118.76,2.1858,1.88%,15848526906,629675,$134.71,$73.02,1.01,11.15,"1,452,407"
BNY Mellon Hi Yield Str (XNYS:DHF),DHF,,$3.03,-0.01,-0.33%,220304295,1782920,$3.09,$1.71,#FIELD!,#FIELD!,"2,680,182"
"DHI GROUP, INC. (XNYS:DHX)",DHX,Capital Goods,$78.61,0.97,1.25%,28590591580,1392058,$3.20,$1.66,1.55,0,"142,388"
DANAHER CORPORATION (XNYS:DHR),DHR,Capital Goods,$223.97,-1.7,-0.75%,1.60E+11,972969,$248.86,$119.60,0.67,46.35,"2,576,644"
"DHT HOLDINGS, INC. (XNYS:DHT)",DHT,Transportation,$5.87,0.15,2.62%,1002586185,1689424,$8.68,$4.52,-0.27,3.12,"3,334,713"
"DHI GROUP, INC. (XNYS:DHX)",DHX,Miscellaneous,$3.19,0,0.00%,166646114,29739,$3.20,$1.66,1.55,0,"142,388"
Nuv Dow 30 Dyn Overwrite (XNYS:DIAX),DIAX,,$15.43,-0.03,-0.19%,561141468,37801,$16.71,$9.50,10.83,#FIELD!,"110,308"
"Dine Brands Global, Inc. (XNYS:DIN)",DIN,Consumer Services,$78.55,-2.895,-3.56%,1289610640,459171,$90.30,$14.16,2.13,0,"341,683"
THE WALT DISNEY COMPANY (XNYS:DIS),DIS,Consumer Services,$194.57,-0.415,-0.21%,3.53E+11,5479660,$200.60,$79.07,1.23,0,"13,108,893"
"DELEK US HOLDINGS, INC. (XNYS:DK)",DK,Energy,$23.35,-0.53,-2.22%,1722794312,352657,$27.38,$7.79,2.15,0,"1,027,297"
DELEK LOGISTICS PARTNERS COM UNT (XNYS:DKL),DKL,Energy,$36.72,-0.72,-1.92%,1595239298,60422,$43.15,$5.51,#FIELD!,#FIELD!,"133,493"
"DICK'S SPORTING GOODS, INC. (XNYS:DKS)",DKS,Consumer Services,$74.02,0.015,0.02%,6631645930,585339,$80.32,$13.46,1.72,18.25,"1,726,629"
China Distance Education Holdings Limited (XNYS:DL),DL,Consumer Services,$9.68,0,0.00%,327475445,33603,$10.87,$5.76,0.77,31.4,"34,581"
"DOLBY LABORATORIES, INC. (XNYS:DLB)",DLB,Miscellaneous,$100.77,0.16,0.16%,10239538282,221310,$101.52,$44.68,0.98,32.66,"593,797"
DYNAGAS LNG PARTNERS COM UNT (XNYS:DLNG),DLNG,Consumer Services,$2.87,0,0.00%,102208105,26222,$3.97,$0.98,#FIELD!,#FIELD!,"123,769"
"DIGITAL REALTY TRUST, INC. (XNYS:DLR)",DLR,Consumer Services,$131.21,-1.75,-1.32%,36776814948,724454,$165.49,$105.00,0.07,118.71,"1,769,800"
DELUXE CORPORATION (XNYS:DLX),DLX,Consumer Durables,$40.30,-0.97,-2.35%,1693783732,82524,$42.98,$18.90,1.69,207.59,"355,575"
DoubleLine Yield Opps (XNYS:DLY),DLY,,$19.48,0.21,1.09%,0,169247,$20.16,$14.24,#FIELD!,#FIELD!,"135,335"
"DESKTOP METAL, INC. (XNYS:DM)",DM,Technology,$20.54,-0.26,-1.25%,4759962666,1699332,$34.94,$9.40,#FIELD!,0,"3,958,324"
BNY Mellon Muni Bd Infra (XNYS:DMB),DMB,,$14.17,0.075,0.53%,260459972,20865,$15.08,$9.04,#FIELD!,#FIELD!,"42,668"
Western Asset Mtg Oppty (XNYS:DMO),DMO,,$14.38,-0.225,-1.54%,157896121,94428,$20.75,$10.34,-2.76,#FIELD!,"75,589"
"DIGITAL MEDIA SOLUTIONS, INC. (XNYS:DMS)",DMS,Miscellaneous,$10.46,-0.29,-2.70%,610780749,106161,$15.27,$6.32,#FIELD!,0,"192,877"
dMY Technology Group II Inc (XNYS:DMYD),DMYD,Finance,$19.70,0.28,1.44%,679650000,270140,$21.89,$9.80,#FIELD!,0,"898,340"
dMY Technology Group Inc III (XNYS:DMYI),DMYI,Finance,$13.27,-1.3303,-9.11%,503004566,525974,$15.39,$10.50,#FIELD!,0,"759,034"
"DUN & BRADSTREET HOLDINGS, INC. (XNYS:DNB)",DNB,Finance,$23.25,0.5,2.20%,9833639301,560381,$29.55,$21.34,#FIELD!,0,"2,074,822"
PHOENIX TREE HOLDINGS LIMITED (XNYS:DNK),DNK,Consumer Services,$2.33,-0.05,-2.10%,426110400,139074,$13.35,$1.27,#FIELD!,0,"492,530"
"DANIMER SCIENTIFIC, INC. (XNYS:DNMR)",DNMR,Basic Industries,$39.27,-0.92,-2.29%,3366403864,756401,$66.30,$9.60,#FIELD!,0,"2,453,432"
NOW Inc. (XNYS:DNOW),DNOW,Energy,$10.89,-0.18,-1.63%,1191144138,220349,$11.40,$4.03,2.17,0,"1,150,924"
DNP Select Income Fund (XNYS:DNP),DNP,,$10.26,-0.075,-0.73%,3171897640,491997,$12.60,$6.76,1.22,#FIELD!,"547,363"
PHYSICIANS REALTY TRUST (XNYS:DOC),DOC,Consumer Services,$17.23,0.015,0.09%,3586757478,718812,$20.38,$11.01,0.76,54.53,"1,676,777"
Masonite International Corporation (XNYS:DOOR),DOOR,Basic Industries,$113.99,-0.48,-0.42%,2783970247,57088,$115.53,$34.88,1.76,41.36,"154,713"
DOVER CORPORATION (XNYS:DOV),DOV,Technology,$128.00,0.63,0.50%,18387103616,323300,$130.41,$62.95,1.35,27.11,"814,978"
Dow Inc. (XNYS:DOW),DOW,Basic Industries,$63.94,2.4,3.90%,47565896966,3914464,$64.04,$21.95,#FIELD!,37.95,"4,254,640"
Duff & Phelps U&I Inc (XNYS:DPG),DPG,,$13.32,0.1101,0.83%,505228809,67360,$15.19,$5.46,1.56,#FIELD!,"173,248"
"DOMINO'S PIZZA, INC. (XNYS:DPZ)",DPZ,Consumer Non-Durables,$346.72,1.66,0.48%,13660735408,331558,$435.58,$275.22,0.44,27.84,"656,373"
Daqo New Energy Corp. (XNYS:DQ),DQ,Technology,$111.92,-5.54,-4.72%,7776630254,1452185,$130.33,$8.32,0.84,141.97,"2,690,232"
DRDGOLD LIMITED (XNYS:DRD),DRD,Basic Industries,$9.47,0.25,2.71%,809792759,191009,$18.05,$3.06,1.35,9.32,"274,448"
DUKE REALTY CORPORATION (XNYS:DRE),DRE,Consumer Services,$38.90,-0.75,-1.89%,14539491604,1185568,$43.45,$25.19,0.49,49.49,"1,675,439"
DIAMONDROCK HOSPITALITY COMPANY (XNYS:DRH),DRH,Consumer Services,$9.39,-0.345,-3.55%,1971539929,758065,$10.50,$1.96,1.98,0,"2,065,441"
"DARDEN RESTAURANTS, INC. (XNYS:DRI)",DRI,Consumer Services,$138.38,-0.645,-0.46%,18034160109,328834,$140.50,$26.15,1.56,0,"1,536,217"
"DRIL-QUIP, INC. (XNYS:DRQ)",DRQ,Energy,$34.88,-1.32,-3.65%,1224141330,101920,$38.72,$22.25,1.58,0,"178,136"
"Dominion Energy, Inc. (XNYS:DRUA)",DRUA,Public Utilities,$25.63,0.005,0.02%,0,15023,$26.50,$19.01,0.32,0,"48,119"
DRIVE SHACK INC. (XNYS:DS),DS,Consumer Services,$2.62,0.0727,2.85%,239287096,875366,$3.65,$0.86,1.41,0,"4,343,219"
Duff & Phelps MLP&MS Egy (XNYS:DSE),DSE,,$7.17,0.1,1.41%,18809455,24916,$28.00,$2.00,#FIELD!,#FIELD!,"38,639"
DoubleLine Income Sol (XNYS:DSL),DSL,,$17.78,0.01,0.06%,1812793824,166199,$19.97,$10.34,#FIELD!,#FIELD!,"395,734"
BNY Mellon Str Muni Bond (XNYS:DSM),DSM,,$7.85,0.0501,0.64%,387963804,40444,$8.20,$5.15,#FIELD!,#FIELD!,"108,638"
Diamond S Shipping Inc. (XNYS:DSSI),DSSI,Consumer Services,$8.28,0.12,1.47%,334848110,110889,$15.50,$5.31,#FIELD!,3.05,"343,504"
BlackRock Debt Strat (XNYS:DSU),DSU,,$10.85,0,0.00%,507598197,67309,$11.20,$5.92,1.42,#FIELD!,"153,025"
DIANA SHIPPING INC. (XNYS:DSX),DSX,Transportation,$2.91,0.035,1.22%,241913881,839845,$3.78,$1.25,1.24,0,"1,431,972"
"DYNATRACE, INC. (XNYS:DT)",DT,Technology,$52.59,-0.76,-1.43%,14861608100,1042789,$56.77,$17.10,#FIELD!,151.45,"2,998,300"
DTE ENERGY COMPANY (XNYS:DTB),DTB,Public Utilities,$24.94,0.11,0.44%,0,66546,$27.31,$24.34,0.6,0,"49,106"
DTE ENERGY COMPANY (XNYS:DTE),DTE,Public Utilities,$118.71,-0.39,-0.33%,23002874384,316364,$135.60,$71.21,0.6,16.86,"1,011,598"
DTF Tax-Free Income (XNYS:DTF),DTF,,$14.37,0.046,0.32%,100986745,1519,$15.58,$10.53,#FIELD!,#FIELD!,"17,357"
DTE ENERGY COMPANY (XNYS:DTJ),DTJ,Public Utilities,$25.38,0.1447,0.57%,0,6065,$26.39,$17.23,0.6,0,"21,237"
iShs $ Trs Bd 20+y ETF USD A (XLON:DTLA),DTLA,,$13.60,0.4642,3.53%,,2380,$8.03,$4.81,#FIELD!,#FIELD!,#FIELD!
DTE ENERGY UNT (XNYS:DTP),DTP,Public Utilities,$46.13,-0.1433,-0.31%,0,7963,$52.86,$28.00,#FIELD!,#FIELD!,"77,286"
DTE ENERGY COMPANY (XNYS:DTW),DTW,Public Utilities,$25.88,0.05,0.19%,0,3676,$27.90,$17.65,0.6,0,"91,052"
DTE ENERGY COMPANY (XNYS:DTY),DTY,Public Utilities,$25.74,0.01,0.04%,0,27257,$29.00,$17.49,0.6,0,"14,043"
DTE ENERGY COMPANY (XNYS:DTY),DTY,,$10.48,0,0.00%,288191155,142271,$29.00,$17.49,0.6,0,"14,043"
DUKE ENERGY CORPORATION (XNYS:DUK),DUK,Public Utilities,$87.42,0.38,0.44%,64337497315,1188099,$101.69,$62.13,0.2,50.12,"2,929,680"
DUKE ENERGY CORPORATION (XNYS:DUK),DUK,Public Utilities,$27.03,0.14,0.52%,,63736,$101.69,$62.13,0.2,50.12,"2,929,680"
DUKE ENERGY CORPORATION (XNYS:DUKB),DUKB,Public Utilities,$26.88,0.14,0.52%,0,18280,$28.84,$21.50,0.2,0,"152,999"
DUKE ENERGY CORPORATION (XNYS:DUKH),DUKH,Public Utilities,$25.53,-0.02,-0.08%,0,6962,$26.97,$20.20,0.2,0,"30,303"
DAVITA INC. (XNYS:DVA),DVA,Health Care,$103.90,1.05,1.02%,11311593000,300101,$125.28,$62.20,1.28,16.11,"955,375"
"DOVER MOTORSPORTS, INC. (XNYS:DVD)",DVD,Consumer Services,$2.22,-0.005,-0.23%,80564826,101981,$2.66,$1.06,0.73,6.66,"123,910"
DEVON ENERGY CORPORATION (XNYS:DVN),DVN,Energy,$22.88,0.475,2.12%,15397162500,6667515,$23.17,$4.60,3.39,0,"12,198,668"
"DYNEX CAPITAL, INC. (XNYS:DX)",DX,Consumer Services,$19.18,0.15,0.79%,515183815,149659,$19.40,$7.04,1.27,2.76,"520,572"
DXC TECHNOLOGY COMPANY (XNYS:DXC),DXC,Technology,$26.05,0.09,0.35%,6632173518,518872,$30.14,$7.90,2.45,0,"3,365,904"
"DYCOM INDUSTRIES, INC. (XNYS:DY)",DY,Basic Industries,$79.53,-1.46,-1.80%,2538055444,130106,$93.59,$12.24,1.58,94.96,"353,622"
Ang Oak Dynamic FS I Trm (XNYS:DYFN),DYFN,,$18.69,0.055,0.30%,0,5754,$20.04,$17.02,#FIELD!,#FIELD!,"20,056"
Eni SpA (XNYS:E),E,Energy,$23.09,0.12,0.52%,40915008595,268828,$25.43,$12.10,1.09,0,"398,851"
GRAFTECH INTERNATIONAL LTD. (XNYS:EAF),EAF,Energy,$11.80,-0.64,-5.15%,3152863228,8904012,$13.04,$5.56,#FIELD!,7.68,"2,520,404"
Entergy Arkansas LLC (XNYS:EAI),EAI,Public Utilities,$25.46,0.1353,0.53%,0,9684,$26.85,$20.00,0.16,0,"37,766"
ELLINGTON RESIDENTIAL MORTGAGE REIT (XNYS:EARN),EARN,Consumer Services,$12.47,0.14,1.14%,153923969,30827,$13.30,$2.70,2.03,7.5,"72,279"
"BRINKER INTERNATIONAL, INC. (XNYS:EAT)",EAT,Consumer Services,$70.94,-1.475,-2.04%,3224711981,401494,$74.99,$7.00,2.9,681.06,"1,175,083"
"EVENTBRITE, INC. (XNYS:EB)",EB,Technology,$21.65,0.11,0.51%,1984132090,942516,$22.42,$5.71,#FIELD!,0,"1,360,709"
